School Code,Teacher,Date,Julian,Plot,Survey,Tree ID,Species Code,Health,Dbh (cm)
GDH,McCracken,2013-09-18,261,1,1,95,WP,1,21.5
GDH,McCracken,2013-09-18,261,1,1,96,RM,1,8.9
GDH,McCracken,2013-09-18,261,1,1,97,RM,1,9.3
GDH,McCracken,2013-09-18,261,1,1,98,RM,1,11.9
GDH,McCracken,2013-09-18,261,1,1,99,SC,1,10.5
GDH,McCracken,2013-09-18,261,1,1,100,SC,1,3.5
GDH,McCracken,2015-10-29,302,1,2,85,RM,1,4.7
GDH,McCracken,2015-10-29,302,1,2,86,RM,1,6.4
GDH,McCracken,2015-10-29,302,1,2,87,SC,1,8.8
GDH,McCracken,2015-10-29,302,1,2,88,RM,1,59.8
GDH,McCracken,2015-10-29,302,1,2,89,SC,1,7
GDH,McCracken,2015-10-29,302,1,2,90,RM,1,4.9
GDH,McCracken,2015-10-29,302,1,2,91,RM,1,12
GDH,McCracken,2015-10-29,302,1,2,92,X1,0,23.8
GDH,McCracken,2015-10-29,302,1,2,93,TS,1,10
GDH,McCracken,2015-10-29,302,1,2,94,WP,1,9.2
GDH,McCracken,2015-10-29,302,1,2,95,WP,1,21.9
GDH,McCracken,2015-10-29,302,1,2,96,RM,1,9
GDH,McCracken,2015-10-29,302,1,2,97,RM,1,9.5
GDH,McCracken,2015-10-29,302,1,2,98,RM,1,12.2
GDH,McCracken,2015-10-29,302,1,2,99,SC,1,10.5
GDH,McCracken,2015-10-29,302,1,2,100,SC,1,3.8
GDH,McCracken,2015-06-16,167,2,1,57,X1,0,6
GDH,McCracken,2015-06-16,167,2,1,59,WP,1,5.7
GDH,McCracken,2015-06-16,167,2,1,60,WO,1,2.8
GDH,McCracken,2015-06-16,167,2,1,61,RM,1,3.5
GDH,McCracken,2015-06-16,167,2,1,62,RM,1,3
GDH,McCracken,2015-06-16,167,2,1,63,RO,1,5.1
GDH,McCracken,2015-06-16,167,2,1,64,RO,1,8
GDH,McCracken,2015-06-16,167,2,1,65,WO,1,3.2
GDH,McCracken,2015-06-16,167,2,1,66,RM,1,4
GDH,McCracken,2015-06-16,167,2,1,67,RM,1,3.9
GDH,McCracken,2015-06-16,167,2,1,68,PC,1,4.2
GDH,McCracken,2015-06-16,167,2,1,69,PC,1,3.4
GDH,McCracken,2015-06-16,167,2,1,70,RM,1,6.3
GDH,McCracken,2015-06-16,167,2,1,71,WO,1,4.3
GDH,McCracken,2015-06-16,167,2,1,72,RM,1,2.8
GDH,McCracken,2015-06-16,167,2,1,73,RM,1,8.8
GDH,McCracken,2015-06-16,167,2,1,74,RM,1,5.1
GDH,McCracken,2015-06-16,167,2,1,75,RM,1,6.3
GDH,McCracken,2015-06-16,167,2,1,76,WO,1,8.2
GDH,McCracken,2015-06-16,167,2,1,77,WO,1,8.3
GDH,McCracken,2015-06-16,167,2,1,78,WO,1,7.7
GDH,McCracken,2015-06-16,167,2,1,79,RO,1,6.8
GDH,McCracken,2015-06-16,167,2,1,80,RO,1,10.3
GDH,McCracken,2015-06-16,167,2,1,81,RO,1,11.8
GDH,McCracken,2015-06-16,167,2,1,82,RM,1,6.2
GDH,McCracken,2015-06-16,167,2,1,83,RM,1,9.1
GDH,McCracken,2015-06-16,167,2,1,84,WO,1,12
GRH,Van Valkenburg,2013-09-10,253,1,1,79,TS,1,27.2
GRH,Van Valkenburg,2013-09-10,253,1,1,80,BE,1,23.3
GRH,Van Valkenburg,2013-09-10,253,1,1,81,BE,1,21.7
GRH,Van Valkenburg,2013-09-10,253,1,1,82,BE,1,28.1
GRH,Van Valkenburg,2013-09-10,253,1,1,83,TS,1,25.4
GRH,Van Valkenburg,2013-09-10,253,1,1,84,TS,1,23.5
GRH,Van Valkenburg,2013-09-10,253,1,1,85,YB,1,32.2
GRH,Van Valkenburg,2013-09-10,253,1,1,86,TS,1,21
GRH,Van Valkenburg,2013-09-10,253,1,1,87,TS,1,11.2
GRH,Van Valkenburg,2013-09-10,253,1,1,88,TS,1,10
GRH,Van Valkenburg,2013-09-10,253,1,1,90,RM,1,9.5
GRH,Van Valkenburg,2013-09-10,253,1,1,91,YB,0,18.5
GRH,Van Valkenburg,2013-09-10,253,1,1,92,TS,1,13.8
GRH,Van Valkenburg,2013-09-10,253,1,1,93,BE,0,8
GRH,Van Valkenburg,2013-09-10,253,1,1,94,BE,1,27.8
GRH,Van Valkenburg,2013-09-10,253,1,1,95,BE,0,26.6
GRH,Van Valkenburg,2013-09-10,253,1,1,96,BE,1,15.3
GRH,Van Valkenburg,2013-09-10,253,1,1,97,RM,1,15
GRH,Van Valkenburg,2013-09-10,253,1,1,98,TS,1,15.5
GRH,Van Valkenburg,2013-09-10,253,1,1,99,TS,0,25
GRH,Van Valkenburg,2013-09-10,253,1,1,100,RO,1,61.8
